Công Ty TNHH Dịch Vụ Giải Trí Anh Bắc	Bắc Giang	Hồ Tiên Tắm, Thôn Phấn Sơn, Xã Đồng Sơn, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Đại lý du lịch	2400843939	31-07-2018
Công Ty TNHH Điện Tử Tnd	Bắc Giang	Số 245 đường Nguyễn Thị Lưu, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất linh kiện điện tử	2400844040	31-07-2018
Công Ty Cổ Phần Bách Bảo Việt Nam	Bắc Giang	Số 26, ngõ 102 đường Nguyễn Văn Cừ, Phường Lê Lợi, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Xây dựng nhà các loại	2400844259	31-07-2018
Công Ty CP Cát Sơn Việt Nam	Bắc Giang	Số nhà 93, đường Thân Đức Luận, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Chuẩn bị mặt bằng	2400844160	31-07-2018
Công Ty TNHH Bảo Sơn Bắc Giang	Bắc Giang	Số nhà 42 đường Lý Tự Trọng 4,  Phường Xương Giang, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	2400844146	31-07-2018
Công Ty Cổ Phần Đầu Tư 286	Bắc Giang	Số nhà 64, Tổ dân phố Phú Mỹ 1, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Khai thác đá, cát, sỏi, đất sét	2400844227	31-07-2018
Công Ty TNHH Mỹ Phẩm Én Vàng	Bắc Giang	Số 79, Đường Lý Thái Tổ, Phường Trần Phú, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn đồ dùng khác cho gia đình	2400844026	30-07-2018
Công Ty TNHH Dược Phẩm Eco Green	Bắc Giang	Lô 89-N07, Đường Trần Bình Trọng 1, Phường Thọ Xương, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn thực phẩm	2400844107	30-07-2018
Công Ty Cổ Phần Tập Đoàn Tbs	Bắc Giang	Số 14, ngõ 58 đường Phùng Trạm, Phường Thọ Xương, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Lập trình máy vi tính	2400843992	30-07-2018
Công Ty TNHH Một Thành Viên Suta	Bắc Giang	Ki ốt 43, dãy nhà ki ốt số 04, chợ Song Mai, Khu 34, Xã Song Mai, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Chế biến sữa và các sản phẩm từ sữa	2400843985	30-07-2018
Công Ty TNHH Vật Liệu Xây Dựng Hà Huy	Bắc Giang	Số nhà 817 đường Lê Lợi, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	2400843777	25-07-2018
Công Ty TNHH Thương Mại Và Vận Tải Trung Dũng	Bắc Giang	Số nhà 25A, Tổ dân phố Thanh Lương, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Vận tải hàng hóa bằng đường bộ	2400843600	25-07-2018
Công Ty Cổ Phần Đầu Tư Xây Dựng Phát Triển Đô Thị Bắc Giang	Bắc Giang	Số nhà 64 Đường Châu Xuyên, Phường Lê Lợi, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất vật liệu xây dựng từ đất sét	2400843784	25-07-2018
Công Ty Cổ Phần Xây Dựng Phú Thành Bắc Giang	Bắc Giang	SN 27 Đường Nguyên Hồng, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Xây dựng nhà các loại	2400843657	24-07-2018
Công Ty TNHH Dịch Vụ Vận Tải Bách Thuận	Bắc Giang	Số 750 đường Lê Lợi, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Vận tải hàng hóa bằng đường bộ	2400843583	23-07-2018
Công Ty TNHH Giải Pháp Công Nghệ Nt-tech	Bắc Giang	Số 08, ngõ 257, đường Yết Kiêu 1, Phường Ngô Quyền, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất sản phẩm từ plastic	2400843495	19-07-2018
Công Ty TNHH Yongxing Việt Nam	Bắc Giang	Số 97 đường Cả Trọng, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu	2400843470	18-07-2018
Công Ty TNHH Dịch Vụ Thương Mại Mt	Bắc Giang	Xóm Chùa, Xã Song Khê, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Dịch vụ ăn uống khác	2400843449	18-07-2018
Công Ty TNHH Vận Tải Xây Dựng Và Thương Mại Tân Hưng	Bắc Giang	Số 21, ngõ 16 Lê Lý, Phường Hoàng Văn Thụ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Khai thác đá, cát, sỏi, đất sét	2400843230	16-07-2018
Công Ty TNHH Môi Trường Xanh Thái Hải	Bắc Giang	Thôn Lò, Xã Tân Mỹ, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Thu gom rác thải không độc hại	2400843248	13-07-2018
Công Ty TNHH Đầu Tư Địa Ốc An Phúc	Bắc Giang	Số 107 đường Nguyễn Duy Năng, Phường Thọ Xương, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất	2400843255	13-07-2018
Công Ty TNHH Xây Dựng Và Thương Mại Amc	Bắc Giang	Số 186M đường Nguyễn Công Hãng, Phường Trần Nguyên Hãn, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Xây dựng nhà các loại	2400843128	13-07-2018
Công Ty TNHH Việt Thắng Garment	Bắc Giang	Lô 4, N14, đường Nguyễn Thọ Vinh 6, Tổ Tiền, Phường Thọ Xương, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Sản xuất hàng may sẵn (trừ trang phục)	2400843086	10-07-2018
Công Ty TNHH Thương Mại Dịch Vụ Và Đào Tạo Á Đông	Bắc Giang	Lô 83 Khu tập thể Sỹ quan Quân Đoàn 2, Đường Lê Hồng Phong, Phường Dĩnh Kế, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Dịch vụ tắm hơi, massage và các dịch vụ tăng cường sức khoẻ tương tự (trừ hoạt động thể thao)	2400842974	10-07-2018
Công Ty TNHH Một Thành Viên Bg 259	Bắc Giang	Số nhà 46, đường Hồ Công Dự, Phường Lê Lợi, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Khai thác và thu gom than cứng	2400842854	09-07-2018
Công Ty TNHH Kinh Doanh Tổng Hợp Linh Sơn	Bắc Giang	Số nhà 03, ngách 29, ngõ 190 đường Nguyễn Công Hãng, Phường Trần Nguyên Hãn, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn đồ dùng khác cho gia đình	2400842734	05-07-2018
Công Ty TNHH Tổ Chức Sự Kiện Anh Vũ	Bắc Giang	Số 110, Chợ Song Mai, Km số 4, Đường Hoàng Hoa Thám, Xã Song Mai, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Tổ chức giới thiệu và xúc tiến thương mại	2400842773	05-07-2018
Công Ty TNHH Đồng Sơn Fc	Bắc Giang	Thôn Sòi, Xã Đồng Sơn, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Hoạt động thể thao khác	2400842780	05-07-2018
Công Ty TNHH Phát Triển Công Nghệ Nam Gang	Bắc Giang	Thôn Đồng Quan, Xã Đồng Sơn, Thành phố  Bắc Giang, Tỉnh Bắc Giang	Bán buôn chuyên doanh khác chưa được phân vào đâu	2400842886	05-07-2018
